*       Citation
*       
*       A citation to
*  the MCM website and the relevant mechanism construction
*  protocols should be given in any publication using
*  information obtained from this source, using the following
*  or comparable wording:
*       
* The chemical mechanistic
*  information was taken from the Master Chemical Mechanism,
*  MCM v3.3.1 (reference), via  website:
*  http://mcm.york.ac.uk/
* 
* The reference should be: 
* 
* 
*  For non-aromatic schemes:
*    
*       Jenkin et al.,
*  Atmos. Environ., 31, 81, 1997
*  [doi:10.1016/S1352-2310(96)00105-7]
*       Saunders et
*  al., Atmos. Chem. Phys., 3, 161, 2003
*  [doi:10.5194/acp-3-161-2003]
*    
*    For aromatic
*  schemes:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  3, 181, 2003 [doi:10.5194/acp-3-181-2003]
*       Bloss et
*  al., Atmos. Chem. Phys., 5, 641, 2005
*  [doi:10.5194/acp-5-641-2005]
*    
*    For the
*  β-caryophyllene scheme:
*    
*       Jenkin et al.,
*  Atmos. Chem. Phys.,  12, 5275, 2012
*  [doi:10.5194/acp-12-5275-2012]
*    
*    For the isoprene
*  scheme:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  15, 11433-11459, 2015 [doi:10.5194/acp-15-11433-2015]
* Selected VOCs: APINENE
Name	Smiles	Inchi	InchiKey	Formula	Mass	Excited	PeroxyRadical	Synonyms
C4PAN6	O=N(=O)OOC(=O)C(O)C(=O)C	InChI=1S/C4H5NO7/c1-2(6)3(7)4(8)11-12-5(9)10/h3,7H,1H3	QRAIBPAZBCTEOB-UHFFFAOYSA-N	C4H5NO7	179.085	false	false	
C511O	O=CCC([O])C(=O)C	InChI=1S/C5H7O3/c1-4(7)5(8)2-3-6/h3,5H,2H2,1H3	ODDPEJXDLKFXSU-UHFFFAOYSA-N	C5H7O3	115.1073	false	false	
C511O2	O=CCC(O[O])C(=O)C	InChI=1S/C5H7O4/c1-4(7)5(9-8)2-3-6/h3,5H,2H2,1H3	YFWIKCSFZRZWNH-UHFFFAOYSA-N	C5H7O4	131.1067	false	true	
C511OOH	O=CCC(OO)C(=O)C	InChI=1S/C5H8O4/c1-4(7)5(9-8)2-3-6/h3,5,8H,2H2,1H3	NBNOBTZXOPWFTP-UHFFFAOYSA-N	C5H8O4	132.1146	false	false	
C514NO3	O=CCC(CC=O)ON(=O)=O	InChI=1S/C5H7NO5/c7-3-1-5(2-4-8)11-6(9)10/h3-5H,1-2H2	CEGGSEAULUFJEH-UHFFFAOYSA-N	C5H7NO5	161.1128	false	false	
C514O	O=CCC([O])CC=O	InChI=1S/C5H7O3/c6-3-1-5(8)2-4-7/h3-5H,1-2H2	VPNUCOAFEJRAMR-UHFFFAOYSA-N	C5H7O3	115.1073	false	false	
C514O2	O=CCC(O[O])CC=O	InChI=1S/C5H7O4/c6-3-1-5(9-8)2-4-7/h3-5H,1-2H2	BDDRMUPHFLUDFR-UHFFFAOYSA-N	C5H7O4	131.1067	false	true	
C514OH	O=CCC(O)CC=O	InChI=1S/C5H8O3/c6-3-1-5(8)2-4-7/h3-5,8H,1-2H2	UIVALZXFWDRKKE-UHFFFAOYSA-N	C5H8O3	116.1152	false	false	3-hydroxypentanedial; 89364-32-9; DTXSID001315143; SCHEMBL7194481
C514OOH	O=CCC(OO)CC=O	InChI=1S/C5H8O4/c6-3-1-5(9-8)2-4-7/h3-5,8H,1-2H2	PUFIIBDSTKVRQR-UHFFFAOYSA-N	C5H8O4	132.1146	false	false	
C516O	OCC([O])CC(=O)C(=O)O	InChI=1S/C5H7O5/c6-2-3(7)1-4(8)5(9)10/h3,6H,1-2H2,(H,9,10)	SBTYXGUAQPJBEN-UHFFFAOYSA-N	C5H7O5	147.1061	false	false	
