TREF TMECH 298.0 298.0
NK7000    2.76E-12  2.76E-12 SAR, SAR
TT000n    2.84E-11  2.84E-11 SAR, SAR
TH7005    6.75E-11  6.75E-11 SAR, SAR
TH000d    4.63E-11  4.63E-11 SAR, SAR
HD7004    4.56E-11  4.56E-11 SAR, SAR
TH0042    1.64E-11  1.64E-11 SAR, SAR
ND9007    1.96E-11  1.96E-11 SAR, SAR
TT001D    4.57E-12  4.57E-12 SAR, SAR
TH700C    7.72E-12  7.72E-12 SAR, SAR
TH000x    5.41E-12  5.41E-12 SAR, SAR
TT000V    1.28E-11  1.28E-11 SAR, SAR
PU5000    2.83E-11  2.83E-11 SAR, SAR
TP0004    6.62E-12  6.62E-12 SAR, SAR
TH900E    3.53E-11  3.53E-11 SAR, SAR
TH900D    1.30E-11  1.30E-11 SAR, SAR
TH001b    1.45E-11  1.45E-11 SAR, SAR
TP0003    7.96E-12  7.96E-12 SAR, SAR
TT000R    5.68E-12  5.68E-12 SAR, SAR
HH0009    2.89E-11  2.89E-11 SAR, SAR
TT0016    5.66E-12  5.66E-12 SAR, SAR
GN7000    5.64E-12  5.64E-12 SAR, SAR
TT001Y    1.96E-11  1.96E-11 SAR, SAR
TA800C    2.01E-11  2.01E-11 SAR, SAR
PN0001    2.68E-12  2.68E-12 SAR, SAR
HN900Q    9.17E-12  9.17E-12 SAR, SAR
TN001i    1.64E-12  1.64E-12 SAR, SAR
TH000o    1.21E-11  1.21E-11 SAR, SAR
NK9006    9.76E-12  9.76E-12 SAR, SAR
TE000B    6.33E-11  6.33E-11 SAR, SAR
AH8005    2.26E-11  2.26E-11 SAR, SAR
AH5003    2.76E-11  2.76E-11 SAR, SAR
TH900A    5.76E-11  5.76E-11 SAR, SAR
TH6002    8.99E-12  8.99E-12 SAR, SAR
TA9003    5.47E-12  5.47E-12 SAR, SAR
AK8000    1.34E-11  1.34E-11 SAR, SAR
TP900P    5.37E-12  5.37E-12 SAR, SAR
TA800J    1.12E-11  1.12E-11 SAR, SAR
TH000O    5.65E-12  5.65E-12 SAR, SAR
TT000Y    5.09E-12  5.09E-12 SAR, SAR
HD9005    5.26E-11  5.26E-11 SAR, SAR
TT000c    1.17E-11  1.17E-11 SAR, SAR
TH000F    5.00E-11  5.00E-11 SAR, SAR
PD5000    2.16E-11  2.16E-11 SAR, SAR
PA900F    8.09E-12  8.09E-12 SAR, SAR
PA6005    1.31E-11  1.31E-11 SAR, SAR
KK6001    3.81E-12  3.81E-12 SAR, SAR
HD4003    2.74E-11  2.74E-11 SAR, SAR
AH5005    1.89E-11  1.89E-11 SAR, SAR
GH0000    1.18E-11  1.18E-11 SAR, SAR
PN7005    1.19E-12  1.19E-12 SAR, SAR
NK6004    3.66E-12  3.66E-12 SAR, SAR
HN600D    5.10E-12  5.10E-12 SAR, SAR
TH700B    1.91E-11  1.91E-11 SAR, SAR
TH000u    8.72E-12  8.72E-12 SAR, SAR
EP9000    1.17E-11  1.17E-11 SAR, SAR
EP0000    3.15E-11  3.15E-11 SAR, SAR
EH9001    3.59E-11  3.59E-11 SAR, SAR
EH8004    1.65E-11  1.65E-11 SAR, SAR
HH7003    5.01E-11  5.01E-11 SAR, SAR
TP9006    6.67E-12  6.67E-12 SAR, SAR
GH0001    1.55E-11  1.55E-11 SAR, SAR
HH000A    4.48E-11  4.48E-11 SAR, SAR
HD9002    3.82E-11  3.82E-11 SAR, SAR
HH7005    8.70E-11  8.70E-11 SAR, SAR
HD7007    5.88E-11  5.88E-11 SAR, SAR
HH5001    1.08E-10  1.08E-10 SAR, SAR
HH8003    4.96E-11  4.96E-11 SAR, SAR
HN9003    3.57E-11  3.57E-11 SAR, SAR
GH7001    1.80E-11  1.80E-11 SAR, SAR
GK7000    4.77E-12  4.77E-12 SAR, SAR
TG0002    1.44E-11  1.44E-11 SAR, SAR
TH8005    3.47E-11  3.47E-11 SAR, SAR
HH8004    6.54E-11  6.54E-11 SAR, SAR
HD4001    5.74E-11  5.74E-11 SAR, SAR
TH001h    2.85E-11  2.85E-11 SAR, SAR
TH001a    2.35E-11  2.35E-11 SAR, SAR
TT001e    1.95E-11  1.95E-11 SAR, SAR
TH0013    3.56E-11  3.56E-11 SAR, SAR
TP9009    2.79E-11  2.79E-11 SAR, SAR
GH7002    3.24E-11  3.24E-11 SAR, SAR
TA8009    6.70E-12  6.70E-12 SAR, SAR
AG7000    8.73E-12  8.73E-12 SAR, SAR
TG8000    1.35E-11  1.35E-11 SAR, SAR
PN0002    3.68E-12  3.68E-12 SAR, SAR
HN900T    9.80E-12  9.80E-12 SAR, SAR
PN7006    1.51E-12  1.51E-12 SAR, SAR
HN600E    5.24E-12  5.24E-12 SAR, SAR
PN4002    1.54E-13  1.54E-13 SAR, SAR
TH000L    4.54E-11  4.54E-11 SAR, SAR
TH000H    4.43E-11  4.43E-11 SAR, SAR
ND0004    6.50E-11  6.50E-11 SAR, SAR
HH7000    4.63E-11  4.63E-11 SAR, SAR
HO3000    4.79E-11  4.79E-11 SAR, SAR
EK4000    1.04E-13  1.04E-13 SAR, SAR
EH8005    2.94E-11  2.94E-11 SAR, SAR
EH7002    2.19E-11  2.19E-11 SAR, SAR
TT001W    1.05E-11  1.05E-11 SAR, SAR
TH8004    2.21E-11  2.21E-11 SAR, SAR
TP900I    6.75E-12  6.75E-12 SAR, SAR
PA9001    1.04E-11  1.04E-11 SAR, SAR
PA6002    1.97E-13  1.97E-13 SAR, SAR
PA6001    2.78E-11  2.78E-11 SAR, SAR
TH001w    1.26E-11  1.26E-11 SAR, SAR
TT001U    3.06E-11  3.06E-11 SAR, SAR
TH7000    4.54E-12  4.54E-12 SAR, SAR
TN001g    2.84E-12  2.84E-12 SAR, SAR
TH9018    7.04E-12  7.04E-12 SAR, SAR
TA800M    1.31E-11  1.31E-11 SAR, SAR
AH5009    2.73E-11  2.73E-11 SAR, SAR
AD4000    2.09E-11  2.09E-11 SAR, SAR
TH000R    3.91E-11  3.91E-11 SAR, SAR
TH001S    3.96E-11  3.96E-11 SAR, SAR
TP900L    1.35E-11  1.35E-11 SAR, SAR
TT0014    3.07E-12  3.07E-12 SAR, SAR
TP8005    2.27E-12  2.27E-12 SAR, SAR
TN7005    2.90E-11  2.90E-11 SAR, SAR
TH700H    8.61E-12  8.61E-12 SAR, SAR
TA000I    6.62E-12  6.62E-12 SAR, SAR
DD3002    3.09E-11  3.09E-11 SAR, SAR
TE000U    6.49E-12  6.49E-12 SAR, SAR
EH000B    1.19E-11  1.19E-11 SAR, SAR
ED5000    2.23E-11  2.23E-11 SAR, SAR
NK7001    2.13E-11  2.13E-11 SAR, SAR
HD7003    3.20E-11  3.20E-11 SAR, SAR
HD0008    7.87E-11  7.87E-11 SAR, SAR
TP0005    3.44E-12  3.44E-12 SAR, SAR
TT003L    2.76E-12  2.76E-12 SAR, SAR
TT0011    3.18E-11  3.18E-11 SAR, SAR
PD3001    2.09E-11  2.09E-11 SAR, SAR
PA9008    2.36E-11  2.36E-11 SAR, SAR
AH6000    1.35E-11  1.35E-11 SAR, SAR
AH3000    1.85E-11  1.85E-11 SAR, SAR
TG9005    1.08E-11  1.08E-11 SAR, SAR
HN900U    1.38E-11  1.38E-11 SAR, SAR
TT001c    1.36E-11  1.36E-11 SAR, SAR
HD6009    2.55E-11  2.55E-11 SAR, SAR
AN7000    2.42E-11  2.42E-11 SAR, SAR
AH000C    1.20E-11  1.20E-11 SAR, SAR
AD5003    2.24E-11  2.24E-11 SAR, SAR
TT000f    2.40E-11  2.40E-11 SAR, SAR
TP900W    5.92E-12  5.92E-12 SAR, SAR
TH800D    1.25E-11  1.25E-11 SAR, SAR
PK8001    9.43E-12  9.43E-12 SAR, SAR
HK7002    2.03E-11  2.03E-11 SAR, SAR
HD800A    3.47E-11  3.47E-11 SAR, SAR
