    5694  ! number of records (species) in the file
! Diffusion volume computed using the Fuller et al. approach,
! as described in Poling et al. book (5th edition, 2004)
GNN900x    228.78
GHN901p    220.44
GHN800J    198.43
GNU800O    187.70
GNU9002    208.22
GNU700S    171.80
GNN700m    186.25
GHN7017    177.91
GNU5001    124.65
GNU7002    167.18
GEH2000     65.48
GTH901b    205.99
GTH901Z    220.44
GTH901a    212.10
GTG8002    190.09
GTP8001    204.54
GTH003Q    226.51
GHD700J    163.46
GHD4007    101.90
GGH9000    218.21
GPH9000    232.66
GHH2000     76.21
GHD900E    216.72
GHD900C    210.61
GAH800E    196.20
GHD900u    216.72
GHN901H    231.17
GHN700f    190.13
GHH900s    222.83
GHH700I    181.79
GHD7018    169.57
GHD4004    106.52
GHD700k    169.57
GHD600K    150.54
GHU700I    163.46
GHD3002     86.00
GPH3000    112.67
GHU700K    163.46
GHU5003    122.42
GHN900X    231.17
GAH800B    210.65
GHN900N    231.17
GHN900A    245.62
GHN700A    204.58
GHH900t    237.28
GHN7011    184.02
GHN4003    127.08
GHN4002    120.97
GHN700q    184.02
GHN600S    164.99
GHN701A    177.91
GHN3000    100.45
GHN701F    177.91
GHH900G    222.83
GAH800C    202.31
GHH8002    196.20
GHH700M    175.68
GHH4000    112.63
GHH700S    175.68
GHH600M    156.65
GHH900c    212.10
GHH700W    169.57
GHH3000     92.11
GHH700Y    169.57
GHD2000     59.37
GGH2000     71.59
GPH2000     86.04
GHD900H    218.21
GAH800S    197.69
GHD900D    212.10
GAH800D    191.58
GHD900j    212.10
GHN700g    190.13
GHN7009    204.58
GHH700J    181.79
GTH0011    226.51
GTH000y    240.96
GTH000z    232.62
GTH0012    240.96
GTH0013    232.62
GTH0014    221.89
GTH9008    199.88
GTH004T    221.89
GHD000L    238.73
GHN000O    253.18
GHH000D    244.84
GHD000I    232.62
GHD000K    234.11
GHN000M    247.07
GHH000B    238.73
GHD7019    169.57
GHN700z    184.02
GHH700L    175.68
GHD500H    122.42
GHD700l    164.95
GHD000M    234.11
GHD000H    228.00
GHD600Z    144.43
GHD000w    237.24
GHN000g    251.69
GHH000U    243.35
GHD901I    212.10
GHD500S    128.53
GHD700A    171.06
GHN901W    226.55
GHN500J    142.98
GHN700E    185.51
GHH900e    218.21
GHH500B    134.64
GHH7004    177.17
GHD900F    212.10
GHD4003    101.90
GHD700j    164.95
GHD600J    145.92
GHU700H    158.84
GHD3001     81.38
GHH000Y    238.73
GHD900r    207.48
GHD500K    123.91
GHD7009    166.44
GHU7003    158.84
GHU4001     95.79
GHU6005    138.32
GHU7009    160.33
GHU800F    179.36
GHU9002    199.88
GHU700L    163.46
GHN701G    177.91
GHH700a    169.57
GHU5004    116.31
GHU7004    158.84
GAD7005    169.57
GGD7000    175.68
GPD7003    190.13
GED8004    179.36
GDD8001    173.25
GDD7002    152.73
GDD8006    174.74
GAD7001    158.84
GED7004    163.46
GDD6001    136.83
GDD7001    152.73
GAN700L    182.53
GAH700I    174.19
GAD800H    183.98
GAA8009    190.09
