    5694  ! number of records (species) in the file
GTD000Z   278.87
GHK900E   299.83
GPK0006   261.98
GDK900F   288.99
GHN900a   257.11
GPN0007   293.66
GND900M   265.43
GHH900J   308.56
GPH000D   263.19
GHD900L   299.07
GHK900C   289.75
GPK0004   260.64
GDK900D   277.07
GHD900G   299.07
GPD0003   271.27
GDD9009   288.12
GNK7003   253.81
GHK7003   282.89
GDK700C   269.81
GHN900Y   254.90
GPN0005   292.56
GND900K   262.92
GNK600G   281.01
GHH900H   299.83
GPH000B   261.98
GHD900J   288.99
GHK600D   266.46
GDK700V   253.85
GND700d   264.41
GHD700X   269.81
GDK500B   223.39
GDK700D   253.81
GDD000M   292.61
GND0011   259.15
GHD001I   302.30
GDD000L   291.55
GDD900A   288.12
GND000h   259.15
GNN000l   291.35
GHN001a   260.64
GND000g   268.44
GHD000t   302.30
GHN001L   260.64
GHH000p   310.68
GHD000s   301.24
GDD9007   277.07
GND900J   262.92
GHD900I   288.99
GDD8003   257.97
GDD9006   276.20
GDD000K   291.55
GND000x   268.44
GHD001D   301.24
GDD000J   290.33
GDD900N   288.99
GND9019   265.43
GHD901B   299.07
GDD700J   269.77
GDD900M   288.12
GND900Y   265.43
GNN900X   303.60
GHN9013   267.64
GND701B   288.46
GND900X   277.72
GHD900R   299.07
GHN900n   267.64
GHH900T   307.80
GHD701A   282.81
GHD900Q   298.20
GDK6007   250.35
GDK0008   282.09
GND000B   249.33
GHD000e   293.55
GDK900i   277.07
GDK500E   246.33
GNK600C   287.53
GHK6006   280.18
GAK7005   282.81
GGK7003   293.83
GPK7003   296.84
GDK6006   267.15
GDK4003   244.81
GNK4003   310.18
GNN4007   403.42
GND900p   262.92
GND500J   308.92
GNN600G   351.14
GHN600G   293.17
GAN700I   292.91
GGN7009   296.84
GPN7009   350.34
GND6008   314.39
GND4005   357.37
GHK4003   260.40
GHD900f   288.99
GHD500L   264.11
GHN600U   293.17
GHH6008   291.79
GAH700M   293.83
GGH700C   303.38
GPH7009   300.35
GHD600C   280.87
GHD4006   263.81
GKO3001   213.73
GNK3001   351.93
GHK3002   240.24
GAK5004   264.11
GKK6008   266.46
GAN500C   317.06
GNK600H   287.53
GAH500E   278.65
GHK600E   280.18
GDK4002   220.31
GAK4000   244.81
GGK4000   263.81
GPK4000   367.50
GDK700E   253.81
GAK5003   266.14
GKK6007   267.15
GDK600E   268.04
GUD700M   233.23
GDK3001   221.06
GKK4001   244.81
GNK4004   357.37
GHK4005   263.81
GAK0008   292.61
GGK0003   302.30
GPK0003   260.64
GAN000F   259.15
GGN0006   260.64
GPN0003   292.56
GHD000i   292.61
GAH000J   302.30
GGH000C   310.68
GPH0009   261.98
GNK900D   252.39
GHK900B   289.75
GDK900N   276.20
GNK600B   287.53
GHK6005   280.18
GAK7006   282.81
GGK7002   293.83
GPK7002   296.84
GNN600F   351.14
GHN600F   293.17
GAN700J   292.91
GGN7008   296.84
GPN7008   350.34
GHN600T   293.17
GHH6007   291.79
GAH700N   293.83
GGH700B   303.38
GPH7008   300.35
GDK5006   248.35
GNK600A   314.39
GHK6004   280.87
GAK7004   282.76
GGK7001   293.78
GPK7001   320.52
GDK6005   268.04
GDK4004   249.62
GUD7006   253.76
GUK7003   253.76
GUD800B   272.64
GNU800M   268.61
GHU800D   273.20
GUD8009   257.40
GUD9008   261.60
GUD7005   233.23
GUK4001   185.78
GUD6007   250.35
GUD700H   269.72
GNU6006   307.88
GNU700A   312.14
GHU6006   267.15
GHU700A   282.76
GUD6005   228.70
GUD700F   253.76
GUD5003   225.42
GUD6006   251.24
GUD700G   269.65
GUD7009   253.81
GNU7004   283.32
GNU700e   283.32
GHU7006   269.77
GHU700b   269.77
GNU800L   254.71
GHU800C   273.68
GUD800F   257.97
GUD9007   262.48
GNN800I   300.40
GHN800K   258.65
GNU800R   268.61
GNU9004   260.03
GHN800U   258.65
GHH800E   286.13
GHU800P   273.20
GHU9004   277.07
GNU800K   250.04
GHU800B   258.45
GUD800E   238.33
GUD9004   243.67
GUD700W   233.28
GNU700I   258.33
GHU700G   253.85
GUD6008   197.48
GUD5005   191.07
GAU5001   223.39
GGU5001   246.33
GPU5001   308.92
GUK6000   228.01
GNU6007   273.31
GHU6007   249.66
GUD7002   233.23
GUD6009   228.70
GUD7008   253.76
GUD700a   253.76
GEN2000   461.90
GTN9011   260.03
GTN900z   299.41
GTH901v   262.92
GTG8001   254.71
GTP8000   300.40
GTH003P   255.50
GND700R   258.33
GND4009   345.38
GGN9000   265.43
GPN9000   303.60
GHN2000   380.47
GND900W   252.39
GND900A   249.50
GAN800E   258.65
GND9013   252.39
GNU900H   262.92
GNU700T   264.41
GNN900t   290.28
GNN700Q   322.63
GNN900z   301.62
GNN700p   318.70
GHN901L   254.90
GHN700T   274.00
GHN901r   265.43
GHN701S   269.55
GND7019   264.41
GNN3002   411.22
GHN3004   311.81
GND4007   298.20
GGN4003   320.32
GPN4004   411.16
GND700s   269.55
GNN700h   322.63
GHN701C   274.00
GND700r   264.41
GND600R   314.39
GNU700K   258.33
GND3003   351.93
GPN3000   498.37
GNU800Q   268.61
GNU900J   262.92
GNN9011   301.62
GHN901s   265.43
GNU900G   260.03
GNU900I   275.22
GNU700V   264.41
GNN700q   318.70
GHN701T   269.55
GNU700R   258.33
GNU600A   273.31
GNU700U   283.32
GNU5000   299.29
GNN900V   290.28
GAN800C   303.41
GNN9009   290.28
GNN9001   315.93
GNN7004   360.14
GHN901J   292.26
GNN700b   318.70
GNN4002   403.42
GNN4001   394.64
GNN700g   318.70
GNN600M   381.89
GNN700j   314.25
GNN3001   477.66
GGN3000   498.37
GPN3001   597.99
GHN4007   411.16
GNN4006   460.27
GNN900y   299.41
GNN700k   314.25
GHN900z   254.90
GAH800V   262.07
GHN8003   258.65
GHN9026   254.90
GHN901i   292.26
GHH900v   257.11
GHN700c   269.55
GHN4001   310.18
GHN701B   269.55
GHN600i   320.04
GHN900u   262.92
GHN7014   264.41
GHN3002   366.95
GHN901q   262.92
GHN7015   264.41
GND2000   438.27
GGN2000   481.20
GPN2000   665.37
GAN800M   275.98
GND900V   262.92
GAH800W   262.07
GAN800D   272.56
GND900S   262.92
GNN900s   301.62
GNN700R   322.63
GNN7001   360.14
GHN901K   265.43
GHN700U   274.00
GTN001U   255.50
GTN001T   288.52
GTH003k   257.46
GTN001V   288.52
GTH003l   257.46
GTN001W   264.79
GTH901B   249.50
GTN900R   256.61
GTH0035   257.46
GTN002K   264.79
GHN600f   287.53
GND701A   264.41
GNN700a   318.70
GHN700b   269.55
GND500H   299.29
GND700Y   283.32
GND600Y   307.88
GND000U   249.33
GNN0005   281.34
GHN000j   251.02
GND901E   262.92
GND500L   308.92
GND700j   288.46
GNN4005   474.48
GNN900k   301.62
GNN5007   388.83
GNN700d   343.66
GHN900v   265.43
GHN500E   317.06
GHN7013   292.91
GND4002   345.38
GND700q   283.32
GND600Q   350.37
GNU700D   277.24
GND3002   435.64
GHN000l   259.15
GND900a   275.22
GND500I   349.93
GND700i   312.14
GNU900F   272.32
GNU7001   277.24
GNU4000   330.71
GNU6005   300.18
GNU7009   307.01
GNU900E   260.03
GNN900x   299.41
GHN901p   262.92
GHN800J   254.71
GNU800O   263.95
GNU9002   256.61
GNU700S   258.33
GNN700m   314.25
GHN7017   264.41
GNU5001   287.50
GNU7002   277.24
GEH2000   244.69
GTH901b   277.07
GTH901Z   262.92
GTH901a   288.99
GTG8002   273.68
GTP8001   258.65
GTH003Q   281.16
GHD700J   253.85
GHD4007   244.81
GGH9000   299.07
GPH9000   267.64
GHH2000   256.58
GHD900E   289.75
GHD900C   277.83
GAH800E   286.13
GHD900u   289.75
GHN901H   254.90
GHN700f   274.00
GHH900s   299.83
GHH700I   293.87
GHD7018   269.81
GHD4004   241.40
GHD700k   269.81
GHD600K   280.87
GHU700I   253.85
GHD3002   240.24
GPH3000   390.66
GHU700K   253.85
GHU5003   246.33
GHN900X   254.90
GAH800B   262.07
GHN900N   254.90
GHN900A   292.26
GHN700A   326.14
GHH900t   257.11
GHN7011   269.55
GHN4003   320.32
GHN4002   310.18
GHN700q   269.55
GHN600S   320.04
GHN701A   264.41
GHN3000   366.95
GHN701F   264.41
GHH900G   299.83
GAH800C   296.65
GHH8002   286.13
GHH700M   282.85
GHH4000   260.40
GHH700S   282.85
GHH600M   292.48
GHH900c   288.99
GHH700W   269.81
GHH3000   260.81
GHH700Y   269.81
GHD2000   215.33
GGH2000   267.46
GPH2000   497.52
GHD900H   299.07
GAH800S   296.17
GHD900D   288.99
GAH800D   285.65
GHD900j   288.99
GHN700g   274.00
GHN7009   326.14
GHH700J   293.87
GTH0011   281.16
GTH000y   257.46
GTH000z   292.61
GTH0012   257.46
GTH0013   292.61
GTH0014   280.10
GTH9008   262.48
GTH004T   280.10
GHD000L   302.30
GHN000O   260.64
GHH000D   310.68
GHD000I   292.61
GHD000K   301.24
GHN000M   259.15
GHH000B   302.30
GHD7019   269.81
GHN700z   269.55
GHH700L   282.85
GHD500H   246.33
GHD700l   269.77
GHD000M   301.24
GHD000H   291.55
GHD600Z   267.15
GHD000w   293.55
GHN000g   251.02
GHH000U   303.23
GHD901I   288.99
GHD500S   264.11
GHD700A   282.81
GHN901W   265.43
GHN500J   317.06
GHN700E   292.91
GHH900e   299.07
GHH500B   278.65
GHH7004   293.83
GHD900F   288.99
GHD4003   244.81
GHD700j   269.77
GHD600J   281.77
GHU700H   253.81
GHD3001   247.57
GHH000Y   302.30
GHD900r   288.12
GHD500K   266.14
GHD7009   282.76
GHU7003   253.81
GHU4001   220.31
GHU6005   250.35
GHU7009   269.72
GHU800F   257.97
GHU9002   262.48
GHU700L   253.85
GHN701G   264.41
GHH700a   269.81
GHU5004   223.39
GHU7004   253.81
GAD7005   269.81
GGD7000   282.85
GPD7003   274.00
GED8004   257.97
GDD8001   238.33
GDD7002   233.23
GDD8006   257.40
GAD7001   253.81
GED7004   253.85
GDD6001   228.01
GDD7001   233.23
GAN700L   248.67
GAH700I   269.85
GAD800H   258.45
GAA8009   273.68
GAG8005   286.13
GPA800H   262.07
GAD7009   253.85
