    5694  ! number of records (species) in the file
GAU3000   183.68
GTG9004   277.07
GTG9002   262.92
GTG9003   288.99
GTG8003   257.97
GGD9006   298.20
GGD9001   288.12
GGD9007   289.75
GGN9003   254.90
GGH9003   299.83
GGD8009   285.65
GGD4002   263.81
GGD6001   280.87
GGN8006   275.98
GGN4004   367.50
GGN6001   320.04
GGH8006   296.17
GGH4001   279.34
GGH6000   292.48
GTG0008   280.10
GTP9006   265.43
GPG8002   265.09
GGD7002   282.85
GGH700H   293.87
GGD0001   302.30
GAG9006   299.07
GGD5001   264.11
GPG4000   384.02
GGU6002   267.15
GGN0007   260.64
GAG9003   267.64
GGN5002   324.11
GGN5001   317.06
GGH000D   310.68
GAG9004   307.80
GGH5000   278.65
GGD3000   247.57
GAG900H   306.93
GGD0000   301.24
GAG9005   298.20
GGD6003   267.15
GGD5000   266.14
GGD4001   268.62
GGU6004   250.35
GGD2000   263.30
GGD6000   281.77
GGU9003   276.20
GGU7000   269.77
GGU3000   221.06
GTP9004   262.92
GTP9002   301.62
GTP9003   265.43
GTP8002   268.61
GPD9005   279.94
GPD9000   277.72
GPD9007   254.90
GPN9003   292.26
GPH9003   257.11
GPD8009   275.98
GPD4003   367.50
GPD6003   325.02
GPN6002   390.37
GPH6001   329.47
GPD6001   320.04
GPD6002   360.99
GPD3000   463.37
GPN8006   321.29
GPN4005   468.02
GPN6001   386.34
GPH8006   278.99
GPH4002   376.28
GPH6000   325.02
GTP0006   266.75
GTP900F   277.72
GPD7002   274.00
GPH700H   277.93
GPD0001   260.64
GPA900A   267.64
GPD5001   317.06
GPD4001   367.50
GPP4000   481.21
GPU6002   314.39
GPN0004   292.56
GPA9007   305.39
GPN5002   400.62
GPN5000   395.05
GPN4000   468.02
GPH000A   261.98
GPA9008   269.62
GPH5000   324.11
GPH4000   376.28
GPD3001   450.67
GPD0004   271.27
GPA900N   281.92
GPD0000   269.93
GPA9009   279.94
GPD6005   314.39
GPD0002   269.93
GPD5000   358.07
GPD4000   439.13
GPU6004   307.88
GPD2000   697.85
GPD6000   356.01
GPU9003   275.22
GPU7000   288.46
GPU3000   435.64
GHU4000   185.78
END 
